"CLT_ID","LIST_DATE","Count_Range_1_799","Count_Range_800_999","Count_Range_1000_1499","Count_Range_1500_1999","Count_Range_2000_2499","Count_Range_2500_2999","Count_Range_3000_3499","Count_Range_3500_3999","Count_Range_4000_4499","Count_Range_4500_4999","Count_Range_5000_5999","Count_Range_6000_6999","Count_Range_7000_7999","Count_Range_8000_8999","Count_Range_9000_9999","Count_Range_10000plus","Range_1_799","Range_800_999","Range_1000_1499","Range_1500_1999","Range_2000_2499","Range_2500_2999","Range_3000_3499","Range_3500_3999","Range_4000_4499","Range_4500_4999","Range_5000_5999","Range_6000_6999","Range_7000_7999","Range_8000_8999","Range_9000_9999","Range_10000plus","Total_Count_Ranges","Total_Cur_Bal"
"3000DLVR","","6","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1918.12","0.00","0.00","1686.90","0.00","0.00","0.00","3650.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8","7255.46"
"3000DLVR","2022-12-19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","277.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","277.01"
"3000DLVR","2023-01-21","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","476.71","0.00","0.00","1686.90","0.00","0.00","0.00","3650.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3","5814.05"
"3000DLVR","2023-04-07","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1164.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","1164.40"
"3000EDUC","","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3925.91","4217.17","4561.75","5796.76","6150.28","0.00","8274.19","9625.58","0.00","7","42551.64"
"3000EDUC","2023-01-21","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3925.91","4217.17","4561.75","5796.76","6150.28","0.00","8274.19","9625.58","0.00","7","42551.64"
"3000LEIS","","1","0","1","0","1","0","7","1","1","0","1","1","1","0","1","1","237.68","0.00","1374.56","0.00","2435.50","0.00","22712.70","3793.79","4131.14","0.00","5090.25","6232.09","7650.61","0.00","9057.79","13554.68","17","76270.79"
"3000LEIS","2022-12-19","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","6526.23","3793.79","4131.14","0.00","5090.25","0.00","0.00","0.00","0.00","0.00","5","19541.41"
"3000LEIS","2023-01-21","1","0","1","0","1","0","5","0","0","0","0","1","1","0","1","1","237.68","0.00","1374.56","0.00","2435.50","0.00","16186.47","0.00","0.00","0.00","0.00","6232.09","7650.61","0.00","9057.79","13554.68","12","56729.38"
"3000MEDI","","71","0","4","5","2","2","1","0","1","7","2","3","0","0","0","1","31348.67","0.00","4994.35","8717.91","4528.25","5780.69","3014.70","0.00","4437.85","33388.27","10588.97","20581.90","0.00","0.00","0.00","11537.28","99","138918.84"
"3000MEDI","2022-11-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11537.28","1","11537.28"
"3000MEDI","2022-12-19","1","0","0","1","0","0","0","0","0","2","2","1","0","0","0","0","223.28","0.00","0.00","1785.37","0.00","0.00","0.00","0.00","0.00","9475.49","10588.97","6833.16","0.00","0.00","0.00","0.00","7","28906.27"
"3000MEDI","2023-01-21","28","0","4","4","2","2","1","0","1","5","0","2","0","0","0","0","9965.47","0.00","4994.35","6932.54","4528.25","5780.69","3014.70","0.00","4437.85","23912.78","0.00","13748.74","0.00","0.00","0.00","0.00","49","77315.37"
"3000MEDI","2023-04-07","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21159.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","42","21159.92"
"3000MEMB","","7","0","2","3","2","6","8","1","1","2","1","3","0","0","0","0","2632.58","0.00","2713.90","4858.26","4761.45","16419.39","25789.47","3914.47","4095.52","9155.59","5768.04","20453.29","0.00","0.00","0.00","0.00","36","100561.96"
"3000MEMB","2022-11-17","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","3367.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","3367.12"
"3000MEMB","2022-12-19","0","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","0.00","0.00","0.00","1638.48","2396.86","2647.67","3071.31","0.00","0.00","4606.92","5768.04","6961.92","0.00","0.00","0.00","0.00","7","27091.20"
"3000MEMB","2023-01-21","3","0","2","2","1","5","6","1","1","1","0","2","0","0","0","0","76.76","0.00","2713.90","3219.78","2364.59","13771.72","19351.04","3914.47","4095.52","4548.67","0.00","13491.37","0.00","0.00","0.00","0.00","24","67547.82"
"3000MEMB","2023-04-07","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2555.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","2555.82"
"3000PERS","","26","1","6","17","14","16","7","7","4","13","5","5","2","2","2","3","9617.13","972.52","7910.46","30169.26","31660.53","43368.52","22769.83","26654.82","17221.50","61993.18","27349.71","32145.16","15221.89","16131.30","19194.68","78835.26","130","441215.75"
"3000PERS","2023-01-21","22","1","6","17","14","16","7","7","4","13","5","5","2","2","2","3","7334.36","972.52","7910.46","30169.26","31660.53","43368.52","22769.83","26654.82","17221.50","61993.18","27349.71","32145.16","15221.89","16131.30","19194.68","78835.26","126","438932.98"
"3000PERS","2023-04-07","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2282.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","2282.77"
